transformation,severity,direction,parameter_name,parameter_value,model,seed,overall_mean_delta_p,overall_median_delta_p,overall_mean_abs_delta_p,real_mean_delta_p,real_median_delta_p,fake_mean_delta_p,fake_median_delta_p
resize,2,none,scale,0.5,xception,42,0.14318138973229314,0.027778557467942222,0.14318138973229314,0.20161528854726518,0.05546804657900231,0.0847474909173211,0.01566245143763728
resize,2,none,scale,0.5,xception,123,0.06295064104914255,0.0021520434928222593,0.07705321255692459,0.13137371840620649,0.02803532251836511,-0.00547243630792139,7.5005894475399515e-06
resize,2,none,scale,0.5,xception,2024,0.09715648423265717,0.005727432542399298,0.0998508156259011,0.16365921564227034,0.05205315788350029,0.030653752823044,0.0023330572654889914
resize,3,none,scale,0.25,efficientnet_b0,42,0.08505513506482831,0.008334849378865184,0.11749254104829097,0.17818922804910545,0.03978736068352452,-0.008078957919448872,0.0023657079848019014
resize,3,none,scale,0.25,efficientnet_b0,123,0.009716130043241672,0.00612781858667325,0.133952502214546,0.13194885095743666,0.08991975066611285,-0.11251659087095334,-0.03226188883968689
resize,3,none,scale,0.25,efficientnet_b0,2024,0.05022662498518576,0.011514056323175037,0.161380985610468,0.2096886012084579,0.1540756494802037,-0.10923535123808638,-0.11388099136051605
resize,3,none,scale,0.25,resnet50,42,0.06509825929188379,0.01781882326558772,0.13728339878715115,0.16877001958912685,0.14351085022250173,-0.038573501005359286,-0.010821424102095967
resize,3,none,scale,0.25,resnet50,123,0.08582023223788664,0.02848894700878852,0.17231440964045333,0.2285367380566147,0.21236747445533563,-0.05689627358084143,-0.008107189959727201
resize,3,none,scale,0.25,resnet50,2024,0.07695363466863825,0.017507338999007423,0.1462031673882981,0.15263662405141504,0.13071906861206803,0.0012706452858614649,-0.026424515774899793
resize,3,none,scale,0.25,xception,42,0.12273317306184472,0.03079362849512685,0.14605710304173292,0.2309551078097436,0.10079623924076644,0.014511238313945884,0.0012844821858113975
resize,3,none,scale,0.25,xception,123,-0.020284493134835047,0.00406784526802245,0.14128692090440237,0.11905090119543237,0.04661674625889295,-0.15961988746510244,-0.044708051175952335
resize,3,none,scale,0.25,xception,2024,0.02513796079095024,0.001543481356062506,0.12962345767401276,0.14715593321906137,0.0586840893966301,-0.09688001163716091,-0.005559839313085013
